iter	Passed	Remaining
0	50	227592
1	52	116718
2	53	79538
3	54	60813
4	55	49391
5	56	41785
6	56	36288
7	57	32173
8	58	28853
9	58	26239
10	59	24087
11	60	22313
12	60	20788
13	61	19480
14	61	18339
15	62	17329
16	62	16443
17	63	15651
18	63	14948
19	64	14314
20	64	13739
21	65	13223
22	65	12745
23	66	12310
24	67	11908
25	67	11536
26	68	11188
27	68	10867
28	69	10566
29	69	10286
30	70	10028
31	70	9784
32	71	9555
33	71	9336
34	72	9139
35	72	8945
36	73	8762
37	73	8586
38	74	8420
39	74	8264
40	75	8120
41	75	7980
42	76	7848
43	76	7720
44	77	7596
45	77	7479
46	78	7369
47	78	7261
48	79	7155
49	79	7056
50	80	6958
51	80	6866
52	81	6777
53	81	6691
54	82	6608
55	82	6529
56	83	6453
57	83	6382
58	84	6311
59	85	6243
60	85	6174
61	86	6110
62	86	6049
63	87	5989
64	87	5931
65	88	5874
66	88	5819
67	89	5766
68	89	5715
69	90	5664
70	90	5616
71	91	5568
72	91	5521
73	92	5477
74	92	5432
75	93	5388
76	93	5345
77	94	5306
78	94	5265
79	95	5226
80	95	5186
81	96	5149
82	96	5113
83	97	5076
84	97	5040
85	98	5007
86	98	4974
87	99	4942
88	99	4909
89	100	4878
90	100	4847
91	101	4818
92	101	4790
93	102	4761
94	102	4733
95	103	4705
96	103	4678
97	104	4651
98	104	4625
99	105	4599
100	105	4574
101	106	4549
102	106	4524
103	107	4500
104	107	4475
105	108	4452
106	108	4429
107	109	4408
108	109	4387
109	110	4366
110	110	4346
111	111	4325
112	111	4306
113	112	4286
114	112	4267
115	113	4247
116	113	4228
117	114	4209
118	114	4191
119	115	4172
120	115	4153
121	116	4135
122	116	4118
123	117	4100
124	117	4083
125	118	4066
126	118	4050
127	119	4034
128	119	4020
129	120	4006
130	120	3989
131	121	3973
132	121	3960
133	122	3945
134	122	3930
135	123	3916
136	123	3901
137	123	3887
138	124	3873
139	124	3860
140	125	3847
141	125	3833
142	126	3820
143	126	3808
144	127	3795
145	127	3783
146	128	3770
147	128	3758
148	129	3746
149	129	3733
150	130	3721
151	130	3710
152	131	3698
153	131	3687
154	132	3676
155	132	3666
156	133	3655
157	133	3644
158	134	3633
159	134	3622
160	135	3610
161	135	3599
162	135	3589
163	136	3578
164	136	3568
165	137	3558
166	137	3548
167	138	3538
168	138	3527
169	139	3518
170	139	3509
171	140	3500
172	140	3491
173	141	3482
174	141	3473
175	142	3464
