DOI,Composition,Pt_wt,Pt_size,Surface_area,N_doped,pH,Current_Density,Overpotential
10.1039/d0se01516d,Pt,1.4,0.36,586.9,12.1,0.3,100,89.1
10.1039/d0se01516d,Pt,1.4,0.36,586.9,12.1,0.3,10,18.1
10.1021/acsnano.8b01022,Pt,6.22,5.5,842,1.82,14,150,323
10.1021/acsnano.8b01022,Pt,6.22,5.5,842,1.82,14,100,235
10.1021/acsnano.8b01022,Pt,6.22,5.5,842,1.82,14,80,194
10.1021/acsnano.8b01022,Pt,6.22,5.5,842,1.82,14,60,155
10.1021/acsnano.8b01022,Pt,6.22,5.5,842,1.82,14,50,133
10.1021/acsnano.8b01022,Pt,6.22,5.5,842,1.82,14,40,111
10.1021/acsnano.8b01022,Pt,6.22,5.5,842,1.82,14,20,60
10.1021/acsnano.8b01022,Pt,6.22,5.5,842,1.82,14,10,30
10.1016/j.jssc.2018.03.030,Pt,46,3.5,36,0,13,10,470
10.1016/j.jechem.2021.04.065,Pt,9.58,2.1,839.24,27,0.3,80,108
10.1016/j.jechem.2021.04.065,Pt,9.58,2.1,839.24,27,0.3,60,90
10.1016/j.jechem.2021.04.065,Pt,9.58,2.1,839.24,27,0.3,50,80
10.1016/j.jechem.2021.04.065,Pt,9.58,2.1,839.24,27,0.3,40,71
10.1016/j.jechem.2021.04.065,Pt,9.58,2.1,839.24,27,0.3,20,50
10.1016/j.jechem.2021.04.065,Pt,9.58,2.1,839.24,27,0.3,10,38
10.1016/j.cej.2021.130749,Pt,3.24,5,1715,1.23,13,10,80
10.1002/adfm.202001756,Pt,10.2,2,402,0,0.3,50,50
10.1002/adfm.202001756,Pt,10.2,2,402,0,0.3,40,45.2
10.1002/adfm.202001756,Pt,10.2,2,402,0,0.3,20,34.6
10.1002/adfm.202001756,Pt,10.2,2,402,0,0.3,10,28.27
