DOI,Composition,Pt_wt,Pt_size,Surface_area,N_doped,pH,Current_Density,Overpotential
10.1039/d0se01516d,Pt,1.4,0.36,586.9,12.1,0.3,100,89.1
10.1039/d0se01516d,Pt,1.4,0.36,586.9,12.1,0.3,10,18.1
10.1039/c8ee00402a,PtRu,5.24,5.12,105.2,0,0.3,100,145.3
10.1039/c8ee00402a,PtRu,5.24,5.12,105.2,0,0.3,80,132.1
10.1039/c8ee00402a,PtRu,5.24,5.12,105.2,0,0.3,60,115.6
10.1039/c8ee00402a,PtRu,5.24,5.12,105.2,0,0.3,50,105.7
10.1039/c8ee00402a,PtRu,5.24,5.12,105.2,0,0.3,40,93.6
10.1039/c8ee00402a,PtRu,5.24,5.12,105.2,0,0.3,20,65
10.1039/c8ee00402a,PtRu,5.24,5.12,105.2,0,0.3,10,46.6
10.1039/c8ee00402a,PtRu,4.42,2.57,630.3,0,0.3,100,43.1
10.1039/c8ee00402a,PtRu,4.42,2.57,630.3,0,0.3,80,39.6
10.1039/c8ee00402a,PtRu,4.42,2.57,630.3,0,0.3,60,35.2
10.1039/c8ee00402a,PtRu,4.42,2.57,630.3,0,0.3,50,31.9
10.1039/c8ee00402a,PtRu,4.42,2.57,630.3,0,0.3,40,29.7
10.1039/c8ee00402a,PtRu,4.42,2.57,630.3,0,0.3,20,24.2
10.1039/c8ee00402a,PtRu,4.42,2.57,630.3,0,0.3,10,19.7
10.1039/c8ee00402a,Pt,19.82,2.84,259.8,0,0.3,100,61.8
10.1039/c8ee00402a,Pt,19.82,2.84,259.8,0,0.3,80,53.9
10.1039/c8ee00402a,Pt,19.82,2.84,259.8,0,0.3,60,46.2
10.1039/c8ee00402a,Pt,19.82,2.84,259.8,0,0.3,50,40.7
10.1039/c8ee00402a,Pt,19.82,2.84,259.8,0,0.3,40,37.4
10.1039/c8ee00402a,Pt,19.82,2.84,259.8,0,0.3,20,25.3
10.1039/c8ee00402a,Pt,19.82,2.84,259.8,0,0.3,10,19.5
10.1021/acsnano.8b01022,PtNiFe,7.91,7.3,658,1.77,14,80,391
10.1021/acsnano.8b01022,PtNiFe,7.91,7.3,658,1.77,14,60,317
10.1021/acsnano.8b01022,PtNiFe,7.91,7.3,658,1.77,14,50,276
10.1021/acsnano.8b01022,PtNiFe,7.91,7.3,658,1.77,14,40,233
10.1021/acsnano.8b01022,PtNiFe,7.91,7.3,658,1.77,14,20,136
10.1021/acsnano.8b01022,PtNiFe,7.91,7.3,658,1.77,14,10,83
10.1021/acsnano.8b01022,PtNiCu,7.64,7.3,681,1.8,14,150,360
10.1021/acsnano.8b01022,PtNiCu,7.64,7.3,681,1.8,14,100,260
10.1021/acsnano.8b01022,PtNiCu,7.64,7.3,681,1.8,14,80,216
10.1021/acsnano.8b01022,PtNiCu,7.64,7.3,681,1.8,14,60,172
10.1021/acsnano.8b01022,PtNiCu,7.64,7.3,681,1.8,14,50,150
10.1021/acsnano.8b01022,PtNiCu,7.64,7.3,681,1.8,14,40,125
10.1021/acsnano.8b01022,PtNiCu,7.64,7.3,681,1.8,14,20,68
10.1021/acsnano.8b01022,PtNiCu,7.64,7.3,681,1.8,14,10,38
10.1021/acsnano.8b01022,PtNiCuTb,6.36,7.3,702,1.89,14,100,394
10.1021/acsnano.8b01022,PtNiCuTb,6.36,7.3,702,1.89,14,80,346
10.1021/acsnano.8b01022,PtNiCuTb,6.36,7.3,702,1.89,14,60,294
10.1021/acsnano.8b01022,PtNiCuTb,6.36,7.3,702,1.89,14,50,264
10.1021/acsnano.8b01022,PtNiCuTb,6.36,7.3,702,1.89,14,40,230
10.1021/acsnano.8b01022,PtNiCuTb,6.36,7.3,702,1.89,14,20,146
10.1021/acsnano.8b01022,PtNiCuTb,6.36,7.3,702,1.89,14,10,82
10.1021/acsnano.8b01022,PtNi,14.2,7.2,588,1.48,14,60,391
10.1021/acsnano.8b01022,PtNi,14.2,7.2,588,1.48,14,50,348
10.1021/acsnano.8b01022,PtNi,14.2,7.2,588,1.48,14,40,304
10.1021/acsnano.8b01022,PtNi,14.2,7.2,588,1.48,14,20,190
10.1021/acsnano.8b01022,PtNi,14.2,7.2,588,1.48,14,10,118
10.1021/acsnano.8b01022,PtNiCo,10.74,7.2,717,1.9,14,100,367
10.1021/acsnano.8b01022,PtNiCo,10.74,7.2,717,1.9,14,80,306
10.1021/acsnano.8b01022,PtNiCo,10.74,7.2,717,1.9,14,60,246
10.1021/acsnano.8b01022,PtNiCo,10.74,7.2,717,1.9,14,50,215
10.1021/acsnano.8b01022,PtNiCo,10.74,7.2,717,1.9,14,40,184
10.1021/acsnano.8b01022,PtNiCo,10.74,7.2,717,1.9,14,20,112
10.1021/acsnano.8b01022,PtNiCo,10.74,7.2,717,1.9,14,10,69
10.1021/acsnano.8b01022,PtNiMn,9.87,7.2,730,1.96,14,60,397
10.1021/acsnano.8b01022,PtNiMn,9.87,7.2,730,1.96,14,50,344
10.1021/acsnano.8b01022,PtNiMn,9.87,7.2,730,1.96,14,40,288
10.1021/acsnano.8b01022,PtNiMn,9.87,7.2,730,1.96,14,20,161
10.1021/acsnano.8b01022,PtNiMn,9.87,7.2,730,1.96,14,10,90
10.1021/acsnano.8b01022,PtNiCuFe,6.16,7.2,680,1.82,14,150,386
10.1021/acsnano.8b01022,PtNiCuFe,6.16,7.2,680,1.82,14,100,280
10.1021/acsnano.8b01022,PtNiCuFe,6.16,7.2,680,1.82,14,80,232
10.1021/acsnano.8b01022,PtNiCuFe,6.16,7.2,680,1.82,14,60,182
10.1021/acsnano.8b01022,PtNiCuFe,6.16,7.2,680,1.82,14,50,157
10.1021/acsnano.8b01022,PtNiCuFe,6.16,7.2,680,1.82,14,40,131
10.1021/acsnano.8b01022,PtNiCuFe,6.16,7.2,680,1.82,14,20,73
10.1021/acsnano.8b01022,PtNiCuFe,6.16,7.2,680,1.82,14,10,40
10.1021/acsnano.8b01022,PtNiTb,11.44,7.1,476,1.74,14,80,431
10.1021/acsnano.8b01022,PtNiTb,11.44,7.1,476,1.74,14,60,367
10.1021/acsnano.8b01022,PtNiTb,11.44,7.1,476,1.74,14,50,333
10.1021/acsnano.8b01022,PtNiTb,11.44,7.1,476,1.74,14,40,293
10.1021/acsnano.8b01022,PtNiTb,11.44,7.1,476,1.74,14,20,194
10.1021/acsnano.8b01022,PtNiTb,11.44,7.1,476,1.74,14,10,126
10.1021/acsnano.8b01022,Pt,6.22,5.5,842,1.82,14,150,323
10.1021/acsnano.8b01022,Pt,6.22,5.5,842,1.82,14,100,235
10.1021/acsnano.8b01022,Pt,6.22,5.5,842,1.82,14,80,194
10.1021/acsnano.8b01022,Pt,6.22,5.5,842,1.82,14,60,155
10.1021/acsnano.8b01022,Pt,6.22,5.5,842,1.82,14,50,133
10.1021/acsnano.8b01022,Pt,6.22,5.5,842,1.82,14,40,111
10.1021/acsnano.8b01022,Pt,6.22,5.5,842,1.82,14,20,60
10.1021/acsnano.8b01022,Pt,6.22,5.5,842,1.82,14,10,30
10.1016/j.jssc.2018.03.030,PtCo,24.83,7.5,29,0,13,10,370
10.1016/j.jssc.2018.03.030,PtCo,19.65,7.5,34.4,0,13,10,280
10.1016/j.jssc.2018.03.030,Pt,46,3.5,36,0,13,10,470
10.1016/j.jpowsour.2018.09.006,PtNi,10.11,6,347,4.3,14,100,220
10.1016/j.jpowsour.2018.09.006,PtNi,10.11,6,347,4.3,14,80,202
10.1016/j.jpowsour.2018.09.006,PtNi,10.11,6,347,4.3,14,60,177
10.1016/j.jpowsour.2018.09.006,PtNi,10.11,6,347,4.3,14,50,159
10.1016/j.jpowsour.2018.09.006,PtNi,10.11,6,347,4.3,14,40,139
10.1016/j.jpowsour.2018.09.006,PtNi,10.11,6,347,4.3,14,20,79
10.1016/j.jpowsour.2018.09.006,PtNi,10.11,6,347,4.3,14,10,42
10.1016/j.jechem.2021.04.065,PtSr,11.52,2.1,844.1,27,0.3,80,60
10.1016/j.jechem.2021.04.065,PtSr,11.52,2.1,844.1,27,0.3,60,52
10.1016/j.jechem.2021.04.065,PtSr,11.52,2.1,844.1,27,0.3,50,48
10.1016/j.jechem.2021.04.065,PtSr,11.52,2.1,844.1,27,0.3,40,45
10.1016/j.jechem.2021.04.065,PtSr,11.52,2.1,844.1,27,0.3,20,35.5
10.1016/j.jechem.2021.04.065,PtSr,11.52,2.1,844.1,27,0.3,10,27
10.1016/j.jechem.2021.04.065,Pt,9.58,2.1,839.24,27,0.3,80,108
10.1016/j.jechem.2021.04.065,Pt,9.58,2.1,839.24,27,0.3,60,90
10.1016/j.jechem.2021.04.065,Pt,9.58,2.1,839.24,27,0.3,50,80
10.1016/j.jechem.2021.04.065,Pt,9.58,2.1,839.24,27,0.3,40,71
10.1016/j.jechem.2021.04.065,Pt,9.58,2.1,839.24,27,0.3,20,50
10.1016/j.jechem.2021.04.065,Pt,9.58,2.1,839.24,27,0.3,10,38
10.1016/j.ijhydene.2021.06.193,SnPtCo,10,15,79.01,0,14,100,231
10.1016/j.ijhydene.2021.06.193,SnPtCo,10,15,79.01,0,14,80,193
10.1016/j.ijhydene.2021.06.193,SnPtCo,10,15,79.01,0,14,60,150
10.1016/j.ijhydene.2021.06.193,SnPtCo,10,15,79.01,0,14,50,130
10.1016/j.ijhydene.2021.06.193,SnPtCo,10,15,79.01,0,14,40,108
10.1016/j.ijhydene.2021.06.193,SnPtCo,10,15,79.01,0,14,20,65
10.1016/j.ijhydene.2021.06.193,SnPtCo,10,15,79.01,0,14,10,39
10.1016/j.electacta.2020.135855,PtPd,4.24,2.75,1054.7,0.89,14,20,102
10.1016/j.electacta.2020.135855,PtPd,4.24,2.75,1054.7,0.89,14,10,67
10.1016/j.cej.2021.131085,PtRu,27,1.9,161,32.34,13,50,124
10.1016/j.cej.2021.131085,PtRu,27,1.9,161,32.34,13,40,111
10.1016/j.cej.2021.131085,PtRu,27,1.9,161,32.34,0.3,20,82
10.1016/j.cej.2021.131085,PtRu,27,1.9,161,32.34,13,20,81
10.1016/j.cej.2021.131085,PtRu,27,1.9,161,32.34,13,10,61
10.1016/j.cej.2021.131085,PtRu,27,1.9,161,32.34,0.3,10,53
10.1016/j.cej.2021.130749,CuPt,4.42,5,1715,2.9,13,10,46
10.1016/j.cej.2021.130749,CuPt,3.5,5,1715,2.08,13,10,224
10.1016/j.cej.2021.130749,Pt,3.24,5,1715,1.23,13,10,80
10.1016/j.cej.2020.128205,PtEr,8.28,5,323,0,14,100,92.7
10.1016/j.cej.2020.128205,PtEr,8.28,5,323,0,14,10,16
10.1016/j.cej.2020.128205,PtEr,7.49,5,287,4.69,14,100,50
10.1016/j.cej.2020.128205,PtEr,7.49,5,287,4.69,14,10,7
10.1016/j.carbon.2016.12.004,PtPd,17.66,10,388.9,8.7,0.3,20,167
10.1016/j.carbon.2016.12.004,PtPd,16.63,10,388.9,10.7,0.3,20,75
10.1016/j.carbon.2016.12.004,PtPd,16.63,10,388.9,10.7,0.3,10,58
10.1016/j.carbon.2016.12.004,PtPd,12.15,10,388.9,9.7,0.3,20,89
10.1016/j.carbon.2016.12.004,PtPd,12.15,10,388.9,9.7,0.3,10,74
10.1016/j.carbon.2016.12.004,PtPd,11.54,10,388.9,10.8,0.3,20,116
10.1016/j.carbon.2016.12.004,PtPd,11.54,10,388.9,10.8,0.3,10,85
10.1002/cctc.201901601,NiPt,6.69,19.3,302,3.4,14,60,513
10.1002/adfm.202001756,Pt,10.2,2,402,0,0.3,50,50
10.1002/adfm.202001756,Pt,10.2,2,402,0,0.3,40,45.2
10.1002/adfm.202001756,Pt,10.2,2,402,0,0.3,20,34.6
10.1002/adfm.202001756,Pt,10.2,2,402,0,0.3,10,28.27
