Alloy_or_not,Pt_or_not,Weight_ratio (wt%),Particle_size (nm),Surface_area (m2/g),N_doped (at%),pH,Current_density (mA/cm2),Overpotential (mV)
0,1,4.8,4.75,426.0,4.3,0.3,20,50.0
0,0,10.0,4.0,47.4,0.0,14.0,60,230.0
0,0,41.57,5.35,68.8,0.0,0.3,20,118.8
0,1,14.0,2.5,2809.7,37.69,0.3,20,69.0
1,1,5.24,5.12,105.2,0.0,0.3,100,145.3
0,1,14.0,2.5,2809.7,37.69,0.3,40,83.0
0,1,0.44,0.35,900.0,2.75,0.3,40,30.0
1,0,100.0,5.0,4.3,0.0,14.0,100,148.0
0,1,7.2,3.76,2871.0,3.53,0.3,50,44.6
0,0,1.86,10.0,970.0,0.0,7.4,20,152.0
0,1,20.1,5.0,509.0,3.05,0.3,20,92.0
0,0,0.0,0.0,491.0,7.22,0.3,20,598.0
1,0,35.39,8.9,100.06,0.0,0.3,100,94.5
1,0,62.92,28.38,41.37,3.51,14.0,100,218.0
1,1,16.63,10.0,388.9,10.7,0.3,20,75.0
1,1,19.65,7.5,34.4,0.0,13.0,10,280.0
0,0,19.26,21.04,157.0,0.0,0.3,10,471.0
1,1,11.44,7.1,476.0,1.74,14.0,20,194.0
1,0,20.3,10.0,712.0,0.0,0.3,50,123.0
1,0,6.84,3.5,716.3,0.0,14.0,100,128.0
1,0,37.0,10.0,110.3494,2.24,14.0,250,290.0
0,1,5.8,4.3,27.2,0.0,0.3,40,64.5
1,0,20.35,14.51,157.0,0.0,0.3,40,287.0
1,0,9.81,10.0,135.6,0.8,0.3,40,112.0
1,0,9.81,10.0,135.6,0.8,7.4,50,306.0
0,0,64.0,5.35,49.2,0.0,0.3,40,148.0
0,0,12.03,12.5,232.2,4.39,14.0,10,198.0
0,1,4.8,4.75,426.0,4.3,0.3,40,76.0
1,0,48.02,40.0,97.4,5.62,0.3,20,295.0
0,1,9.58,2.1,839.24,27.0,0.3,40,71.0
0,1,18.94,5.0,527.0,6.26,0.3,20,71.0
0,1,6.22,5.5,842.0,1.82,14.0,20,60.0
0,1,2.3,2.1,660.0,0.0,0.3,20,43.5
1,0,4.79,10.0,158.09,6.97,13.0,20,440.0
1,0,27.1,14.5,234.02,0.0,0.3,20,82.0
0,1,6.22,5.5,842.0,1.82,14.0,100,235.0
1,0,25.15,23.3,2.8,9.88,14.3,20,166.0
1,0,15.4,30.0,257.2,1.8,0.3,60,229.0
0,1,11.24,10.0,96.5,3.4,0.3,150,66.0
0,1,0.35,1.0,92.85,0.0,0.3,20,50.0
0,1,3.6,3.2,516.0,12.4,1.0,50,236.0
1,0,51.4,17.2,233.47,0.0,0.3,10,50.0
0,1,7.2,3.76,2871.0,3.53,7.4,10,65.0
1,0,63.33,30.0,30.3,10.06,14.0,80,183.0
1,0,22.4,30.0,257.2,2.3,0.3,50,244.0
0,1,7.2,3.76,2871.0,3.53,0.3,40,36.5
1,0,45.2,30.0,184.92,3.58,0.3,80,49.0
0,0,15.98,32.8,108.4,1.64,14.0,80,402.0
1,0,20.3,10.0,712.0,0.0,0.3,40,100.0
1,0,4.43,3.5,716.3,0.0,14.0,60,76.0
0,1,3.6,3.2,516.0,12.4,1.0,60,278.0
0,1,0.5,0.35,282.0,12.08,0.3,20,98.0
1,0,100.0,1.3,43.54,0.0,0.3,40,28.0
1,0,100.0,1.3,43.54,0.0,0.3,20,19.0
1,1,6.16,7.2,680.0,1.82,14.0,40,131.0
0,0,4.31,2.65,603.8,0.0,0.3,10,58.1
0,1,3.2,1.6,254.0,0.0,0.3,40,84.0
1,1,12.15,10.0,388.9,9.7,0.3,10,74.0
1,0,2.05,3.5,716.3,0.0,7.4,10,68.0
1,0,27.1,14.5,234.02,0.0,0.3,10,70.0
0,1,7.2,3.76,2871.0,3.53,14.0,50,78.7
0,0,19.99,30.0,541.2,17.36,13.0,40,214.0
1,1,1.5,0.35,879.21,4.8,0.3,20,315.0
0,1,0.5,0.35,282.0,12.08,0.3,50,164.0
1,0,9.87,15.6,358.0,3.4,14.0,10,425.0
1,0,45.2,30.0,184.92,3.58,0.3,100,66.0
0,1,10.0,3.5,254.0,0.0,0.3,50,78.2
0,0,86.8,20.0,22.9,0.0,14.0,20,292.0
1,0,37.0,10.0,110.3494,2.24,0.3,100,252.0
0,1,13.6,5.0,491.0,7.22,0.3,20,68.5
0,0,0.0,0.0,160.63,5.0,14.0,10,766.0
1,0,23.73,11.58,157.0,0.0,0.3,80,535.0
1,1,6.16,7.2,680.0,1.82,14.0,60,182.0
0,0,78.06,5.35,31.1,0.0,0.3,50,171.0
1,1,7.64,7.3,681.0,1.8,14.0,50,150.0
0,1,18.94,5.0,527.0,6.26,0.3,10,47.0
0,1,18.7,4.0,527.0,6.98,0.3,10,31.0
0,1,0.95,3.0,1020.36,11.2,0.3,10,15.9
1,1,11.54,10.0,388.9,10.8,0.3,10,85.0
0,0,18.5,10.0,1262.0,0.0,14.0,20,186.0
0,0,61.52,4.8,47.2,2.53,7.4,60,418.0
0,0,36.69,15.0,128.7,2.69,14.0,50,226.0
0,0,12.03,12.5,232.2,4.39,14.0,40,338.0
0,0,16.52,5.9,17.782,0.0,14.0,20,400.0
1,0,27.9,10.0,87.86,1.66,14.0,40,147.0
